carrier,origin,dest,distance,passengers,flight_date
AA,JFK,LAX,2475,180,2024-01-15
AA,LAX,JFK,2475,165,2024-01-15
AA,ORD,MIA,1197,140,2024-01-16
AA,MIA,ORD,1197,135,2024-01-16
AA,DFW,SEA,1660,160,2024-01-17
AA,SEA,DFW,1660,155,2024-01-17
AA,JFK,SFO,2586,170,2024-02-15
AA,SFO,JFK,2586,175,2024-02-15
AA,LAX,BOS,2611,150,2024-02-16
AA,BOS,LAX,2611,145,2024-02-16
AA,MIA,EWR,1098,130,2024-03-15
AA,EWR,MIA,1098,128,2024-03-15
UA,SFO,DEN,1237,150,2024-01-15
UA,DEN,SFO,1237,148,2024-01-15
UA,ORD,LAX,1745,160,2024-01-16
UA,LAX,ORD,1745,158,2024-01-16
UA,IAD,SFO,2438,140,2024-01-17
UA,SFO,IAD,2438,138,2024-01-17
UA,EWR,DEN,1605,135,2024-02-15
UA,DEN,EWR,1605,130,2024-02-15
UA,LAX,CLE,2054,125,2024-02-16
UA,CLE,LAX,2054,122,2024-02-16
UA,BOS,IAD,413,90,2024-03-15
UA,IAD,BOS,413,88,2024-03-15
DL,ATL,JFK,760,170,2024-01-15
DL,JFK,ATL,760,165,2024-01-15
DL,DTW,LAX,1979,160,2024-01-16
DL,LAX,DTW,1979,158,2024-01-16
DL,MSP,SEA,1399,145,2024-01-17
DL,SEA,MSP,1399,142,2024-01-17
DL,ATL,SEA,2182,155,2024-02-15
DL,SEA,ATL,2182,152,2024-02-15
DL,JFK,MIA,1090,150,2024-02-16
DL,MIA,JFK,1090,148,2024-02-16
DL,LAX,ATL,1946,165,2024-03-15
DL,ATL,LAX,1946,162,2024-03-15
B6,JFK,MCO,944,160,2024-01-15
B6,MCO,JFK,944,158,2024-01-15
B6,BOS,DCA,399,100,2024-01-16
B6,DCA,BOS,399,98,2024-01-16
B6,JFK,SJU,1598,200,2024-01-17
B6,SJU,JFK,1598,195,2024-01-17
B6,FLL,JFK,1069,150,2024-02-15
B6,JFK,FLL,1069,148,2024-02-15
B6,BOS,LAX,2611,170,2024-02-16
B6,LAX,BOS,2611,165,2024-02-16
B6,JFK,AUS,1519,140,2024-03-15
B6,AUS,JFK,1519,138,2024-03-15
B6,LAX,JFK,2475,175,2024-03-16
B6,JFK,LAX,2475,172,2024-03-16
